"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies"
"L21","7/30/13","not blooming",0,"Ceanothus","cordulatus","",""
"L21","6/12/14","full bloom",5,"Ceanothus","cordulatus","",""
"L21","6/22/14","finishing bloom",4,"Ceanothus","cordulatus","",""
"L21","7/3/14","finishing bloom",4,"Ceanothus","cordulatus","",""
"L21","7/13/14","not blooming",0,"Ceanothus","cordulatus","",""
"L24","6/13/14","full bloom",3,"Ceanothus","cordulatus","",""
"L24","6/23/14","not blooming",0,"Ceanothus","cordulatus","",""
"L24","7/2/14","not blooming",0,"Ceanothus","cordulatus","",""
"L24","7/13/14","not blooming",0,"Ceanothus","cordulatus","",""
"N131","6/30/13","finishing bloom",3,"Ceanothus","cordulatus","",""
"N131","7/14/13","not blooming",0,"Ceanothus","cordulatus","",""
"N131","7/20/13","not blooming",0,"Ceanothus","cordulatus","",""
"N131","8/1/13","not blooming",0,"Ceanothus","cordulatus","",""
"N131","6/14/14","full bloom",5,"Ceanothus","cordulatus","",""
"N131","6/25/14","full bloom",4,"Ceanothus","cordulatus","",""
"N131","7/4/14","finishing bloom",5,"Ceanothus","cordulatus","",""
"N131","7/14/14","finishing bloom",2,"Ceanothus","cordulatus","",""
"N133","7/8/13","not blooming",0,"Ceanothus","cordulatus","",""
"N133","7/11/13","not blooming",0,"Ceanothus","cordulatus","",""
"N133","7/23/13","not blooming",0,"Ceanothus","cordulatus","",""
"N133","7/25/13","not blooming",0,"Ceanothus","cordulatus","",""
"N133","6/18/14","finishing bloom",5,"Ceanothus","cordulatus","",""
"N133","7/7/14","finishing bloom",3,"Ceanothus","cordulatus","",""
"N133","7/10/14","finishing bloom",1,"Ceanothus","cordulatus","",""
"N133","7/18/14","not blooming",4,"Ceanothus","cordulatus","",""
"N134","6/17/14","full bloom",4,"Ceanothus","cordulatus","",""
"N134","7/6/14","not blooming",0,"Ceanothus","cordulatus","",""
"N134","7/9/14","not blooming",0,"Ceanothus","cordulatus","",""
"N134","7/17/14","not blooming",0,"Ceanothus","cordulatus","",""
"N135","6/18/14","full bloom",2,"Ceanothus","cordulatus","",""
"N135","7/6/14","not blooming",0,"Ceanothus","cordulatus","",""
"N135","7/9/14","not blooming",0,"Ceanothus","cordulatus","",""
"N135","7/19/14","not blooming",0,"Ceanothus","cordulatus","",""
"N137","7/9/13","not blooming",0,"Ceanothus","cordulatus","",""
"N137","7/12/13","not blooming",0,"Ceanothus","cordulatus","",""
"N137","7/24/13","not blooming",0,"Ceanothus","cordulatus","",""
"N137","7/26/13","not blooming",0,"Ceanothus","cordulatus","",""
"N137","6/19/14","finishing bloom",2,"Ceanothus","cordulatus","",""
"N137","7/7/14","finishing bloom",2,"Ceanothus","cordulatus","",""
"N137","7/10/14","not blooming",0,"Ceanothus","cordulatus","",""
"N137","7/19/14","not blooming",0,"Ceanothus","cordulatus","",""
"P310","6/29/13","finishing bloom",2,"Ceanothus","cordulatus","",""
"P310","7/13/13","not blooming",0,"Ceanothus","cordulatus","",""
"P310","7/17/13","not blooming",0,"Ceanothus","cordulatus","",""
"P310","7/31/13","not blooming",0,"Ceanothus","cordulatus","",""
"P310","6/12/14","full bloom",4,"Ceanothus","cordulatus","",""
"P310","6/24/14","finishing bloom",3,"Ceanothus","cordulatus","",""
"P310","7/1/14","finishing bloom",5,"Ceanothus","cordulatus","",""
"P310","7/13/14","finishing bloom",3,"Ceanothus","cordulatus","",""
"P33","6/27/13","finishing bloom",3,"Ceanothus","cordulatus","",""
"P33","7/13/13","finishing bloom",2,"Ceanothus","cordulatus","",""
"P33","7/18/13","not blooming",0,"Ceanothus","cordulatus","",""
