Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector
N132,8/1/2013,GAYERI,Gayophytum eriospermum,FINISHING,3,LCP
N132,6/30/2013,LUPBRE,Lupinus breweri var. breweri,FULL,4,LCP
N132,7/14/2013,LUPBRE,Lupinus breweri var. breweri,FINISHING,3,GH
N132,7/20/2013,LUPBRE,Lupinus breweri var. breweri,FINISHING,3,CRP
N132,8/1/2013,LUPBRE,Lupinus breweri var. breweri,NOT BLOOMING,0,LCP
N133,7/8/2013,APOAND,Apocynum androsaemifolium ,FULL,5,CRP
N133,7/11/2013,APOAND,Apocynum androsaemifolium ,FULL,5,GH
N133,7/22/2013,APOAND,Apocynum androsaemifolium ,FINISHING,4,LCP
N133,7/25/2013,APOAND,Apocynum androsaemifolium ,FINISHING,4,GH
N133,7/8/2013,ARAREC,Arabis rectissima var. rectissima,FINISHING,3,CRP
N133,7/11/2013,ARAREC,Arabis rectissima var. rectissima,NOT BLOOMING,0,GH
N133,7/22/2013,ARAREC,Arabis rectissima var. rectissima,NOT BLOOMING,0,LCP
N133,7/25/2013,ARAREC,Arabis rectissima var. rectissima,NOT BLOOMING,0,GH
N133,7/8/2013,CALUMB,Calyptridium umbellatum,FULL,2,CRP
N133,7/11/2013,CALUMB,Calyptridium umbellatum,FULL,2,GH
N133,7/22/2013,CALUMB,Calyptridium umbellatum,FINISHING,1,LCP
