Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector,SampleRound,Year
N137,7/7/14,Calochortus spp.,Calochortus spp.,finishing bloom,1,LTC,2,2014
N137,7/10/14,Calochortus spp.,Calochortus spp.,full bloom,1,LTC,3,2014
P24,6/27/13,Calochortus spp.,Calochortus spp.,full,1,CC,1,2013
P24,7/13/13,Calochortus spp.,Calochortus spp.,not blooming,0,CRP,2,2013
P24,7/19/13,Calochortus spp.,Calochortus spp.,not blooming,0,CRP,3,2013
P24,7/29/13,Calochortus spp.,Calochortus spp.,not blooming,0,GH,4,2013
P24,6/12/14,Calochortus spp.,Calochortus spp.,not blooming,0,JPS,1,2014
P24,6/23/14,Calochortus spp.,Calochortus spp.,not blooming,0,KK,2,2014
P24,7/2/14,Calochortus spp.,Calochortus spp.,finishing bloom,1,KK,3,2014
P24,7/13/14,Calochortus spp.,Calochortus spp.,not blooming,0,MRM,4,2014
P310,6/29/13,Calochortus spp.,Calochortus spp.,finishing,1,LCP,1,2013
P310,7/13/13,Calochortus spp.,Calochortus spp.,not blooming,0,BES,2,2013
P310,7/17/13,Calochortus spp.,Calochortus spp.,not blooming,0,CRP,3,2013
P310,7/31/13,Calochortus spp.,Calochortus spp.,not blooming,0,GH,4,2013
