"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","Year","doy","Occ","logFlowerNum","PlantGenusSpecies","SiteStatus"
"N131",2014-07-14,"finishing bloom",2,"Aster","breweri","","","2014",195,1,10,"Aster breweri","LOW"
"L21",2013-06-26,"beginning to bloom",1,"Aster","integrifolius","","","2013",177,1,1,"Aster integrifolius","MOD"
"L21",2013-07-13,"full bloom",3,"Aster","integrifolius","","","2013",194,1,100,"Aster integrifolius","MOD"
"L21",2013-07-17,"full bloom",3,"Aster","integrifolius","","","2013",198,1,100,"Aster integrifolius","MOD"
"L21",2013-07-30,"finishing bloom",3,"Aster","integrifolius","","","2013",211,1,100,"Aster integrifolius","MOD"
"L21",2014-06-12,"not blooming",0,"Aster","integrifolius","","","2014",163,0,0,"Aster integrifolius","MOD"
"L21",2014-06-22,"not blooming",0,"Aster","integrifolius","","","2014",173,0,0,"Aster integrifolius","MOD"
"L21",2014-07-03,"not blooming",0,"Aster","integrifolius","","","2014",184,0,0,"Aster integrifolius","MOD"
"L21",2014-07-13,"full bloom",2,"Aster","integrifolius","","","2014",194,1,10,"Aster integrifolius","MOD"
"N131",2013-06-30,"not blooming",0,"Aster","integrifolius","","","2013",181,0,0,"Aster integrifolius","LOW"
"N131",2013-07-14,"not blooming",0,"Aster","integrifolius","","","2013",195,0,0,"Aster integrifolius","LOW"
"N131",2013-07-20,"not blooming",0,"Aster","integrifolius","","","2013",201,0,0,"Aster integrifolius","LOW"
"N131",2013-08-01,"full bloom",2,"Aster","integrifolius","","","2013",213,1,10,"Aster integrifolius","LOW"
"N131",2014-06-14,"not blooming",0,"Aster","integrifolius","","","2014",165,0,0,"Aster integrifolius","LOW"
"N131",2014-06-25,"not blooming",0,"Aster","integrifolius","","","2014",176,0,0,"Aster integrifolius","LOW"
"N131",2014-07-04,"not blooming",0,"Aster","integrifolius","","","2014",185,0,0,"Aster integrifolius","LOW"
"N131",2014-07-14,"finishing bloom",1,"Aster","integrifolius","","","2014",195,1,1,"Aster integrifolius","LOW"
"P37",2013-06-28,"full bloom",1,"Aster","integrifolius","","","2013",179,1,1,"Aster integrifolius","LOW"
"P37",2013-07-13,"full bloom",1,"Aster","integrifolius","","","2013",194,1,1,"Aster integrifolius","LOW"
"P37",2013-07-19,"full bloom",1,"Aster","integrifolius","","","2013",200,1,1,"Aster integrifolius","LOW"
"P37",2013-07-30,"full bloom",1,"Aster","integrifolius","","","2013",211,1,1,"Aster integrifolius","LOW"
"P37",2014-06-13,"not blooming",0,"Aster","integrifolius","","","2014",164,0,0,"Aster integrifolius","LOW"
"P37",2014-06-24,"full bloom",1,"Aster","integrifolius","","","2014",175,1,1,"Aster integrifolius","LOW"
"P37",2014-07-01,"full bloom",1,"Aster","integrifolius","","","2014",182,1,1,"Aster integrifolius","LOW"
"P37",2014-07-13,"not blooming",0,"Aster","integrifolius","","","2014",194,0,0,"Aster integrifolius","LOW"
"N139",2014-06-18,"not blooming",0,"Aster","sp.","","","2014",169,0,0,"Aster sp.","LOW"
"N139",2014-07-06,"not blooming",0,"Aster","sp.","","","2014",187,0,0,"Aster sp.","LOW"
"N139",2014-07-09,"not blooming",0,"Aster","sp.","","","2014",190,0,0,"Aster sp.","LOW"
"N139",2014-07-18,"full bloom",1,"Aster","sp.","","","2014",199,1,1,"Aster sp.","LOW"
"L35",2014-06-12,"full bloom",2,"Brassica","sp.","","","2014",163,1,10,"Brassica sp.","MOD"
"L35",2014-06-22,"finishing bloom",1,"Brassica","sp.","","","2014",173,1,1,"Brassica sp.","MOD"
"L35",2014-07-03,"finishing bloom",1,"Brassica","sp.","","","2014",184,1,1,"Brassica sp.","MOD"
"L35",2014-07-13,"not blooming",0,"Brassica","sp.","","","2014",194,0,0,"Brassica sp.","MOD"
"L21",2013-06-26,"finishing bloom",3,"Calochortus","spp.","","","2013",177,1,100,"Calochortus spp.","MOD"
"L21",2013-07-13,"not blooming",0,"Calochortus","spp.","","","2013",194,0,0,"Calochortus spp.","MOD"
"L21",2013-07-17,"not blooming",0,"Calochortus","spp.","","","2013",198,0,0,"Calochortus spp.","MOD"
"L21",2013-07-30,"not blooming",0,"Calochortus","spp.","","","2013",211,0,0,"Calochortus spp.","MOD"
"L21",2014-06-12,"not blooming",0,"Calochortus","spp.","","","2014",163,0,0,"Calochortus spp.","MOD"
"L21",2014-06-22,"full bloom",2,"Calochortus","spp.","","","2014",173,1,10,"Calochortus spp.","MOD"
"L21",2014-07-03,"finishing bloom",1,"Calochortus","spp.","","","2014",184,1,1,"Calochortus spp.","MOD"
"L21",2014-07-13,"not blooming",0,"Calochortus","spp.","","","2014",194,0,0,"Calochortus spp.","MOD"
"L24",2013-06-27,"full bloom",1,"Calochortus","spp.","","","2013",178,1,1,"Calochortus spp.","HIGH"
"L24",2013-07-13,"not blooming",0,"Calochortus","spp.","","","2013",194,0,0,"Calochortus spp.","HIGH"
